Epoch 00000 | Train Loss 2.3602 | Train Acc 0.1035 | Val Loss 2.0692 | Val Acc 0.1200 | Time(s) 0.0257
Epoch 00001 | Train Loss 2.0524 | Train Acc 0.1616 | Val Loss 1.8433 | Val Acc 0.1600 | Time(s) 0.0251
Epoch 00002 | Train Loss 1.7981 | Train Acc 0.2626 | Val Loss 1.6436 | Val Acc 0.4000 | Time(s) 0.0246
Epoch 00003 | Train Loss 1.5536 | Train Acc 0.4343 | Val Loss 1.4672 | Val Acc 0.6000 | Time(s) 0.0248
Epoch 00004 | Train Loss 1.3537 | Train Acc 0.5707 | Val Loss 1.3156 | Val Acc 0.6800 | Time(s) 0.0250
Epoch 00005 | Train Loss 1.1549 | Train Acc 0.7399 | Val Loss 1.1857 | Val Acc 0.6800 | Time(s) 0.0251
Epoch 00006 | Train Loss 1.0544 | Train Acc 0.7525 | Val Loss 1.0758 | Val Acc 0.7600 | Time(s) 0.0254
Epoch 00007 | Train Loss 0.9310 | Train Acc 0.7980 | Val Loss 0.9832 | Val Acc 0.7800 | Time(s) 0.0256
Epoch 00008 | Train Loss 0.7736 | Train Acc 0.8687 | Val Loss 0.9050 | Val Acc 0.8200 | Time(s) 0.0250
Epoch 00009 | Train Loss 0.7145 | Train Acc 0.8737 | Val Loss 0.8389 | Val Acc 0.8200 | Time(s) 0.0250
Epoch 00010 | Train Loss 0.6440 | Train Acc 0.9040 | Val Loss 0.7836 | Val Acc 0.8200 | Time(s) 0.0251
Epoch 00011 | Train Loss 0.5678 | Train Acc 0.8939 | Val Loss 0.7377 | Val Acc 0.8200 | Time(s) 0.0254
Epoch 00012 | Train Loss 0.5301 | Train Acc 0.9066 | Val Loss 0.6998 | Val Acc 0.8200 | Time(s) 0.0255
Epoch 00013 | Train Loss 0.4619 | Train Acc 0.9141 | Val Loss 0.6689 | Val Acc 0.8200 | Time(s) 0.0256
Epoch 00014 | Train Loss 0.4276 | Train Acc 0.9419 | Val Loss 0.6433 | Val Acc 0.8200 | Time(s) 0.0255
Epoch 00015 | Train Loss 0.3814 | Train Acc 0.9419 | Val Loss 0.6225 | Val Acc 0.8400 | Time(s) 0.0257
Epoch 00016 | Train Loss 0.3521 | Train Acc 0.9394 | Val Loss 0.6057 | Val Acc 0.8400 | Time(s) 0.0257
Epoch 00017 | Train Loss 0.3089 | Train Acc 0.9495 | Val Loss 0.5922 | Val Acc 0.8400 | Time(s) 0.0255
Epoch 00018 | Train Loss 0.3003 | Train Acc 0.9470 | Val Loss 0.5815 | Val Acc 0.8600 | Time(s) 0.0254
Epoch 00019 | Train Loss 0.2752 | Train Acc 0.9520 | Val Loss 0.5732 | Val Acc 0.8600 | Time(s) 0.0254
Epoch 00020 | Train Loss 0.2509 | Train Acc 0.9571 | Val Loss 0.5668 | Val Acc 0.8600 | Time(s) 0.0255
Epoch 00021 | Train Loss 0.2446 | Train Acc 0.9394 | Val Loss 0.5621 | Val Acc 0.8400 | Time(s) 0.0258
Epoch 00022 | Train Loss 0.2272 | Train Acc 0.9646 | Val Loss 0.5590 | Val Acc 0.8400 | Time(s) 0.0258
Epoch 00023 | Train Loss 0.2097 | Train Acc 0.9596 | Val Loss 0.5571 | Val Acc 0.8400 | Time(s) 0.0259
Epoch 00024 | Train Loss 0.2028 | Train Acc 0.9596 | Val Loss 0.5564 | Val Acc 0.8400 | Time(s) 0.0260
Epoch 00025 | Train Loss 0.1835 | Train Acc 0.9697 | Val Loss 0.5563 | Val Acc 0.8400 | Time(s) 0.0261
Epoch 00026 | Train Loss 0.1638 | Train Acc 0.9672 | Val Loss 0.5568 | Val Acc 0.8400 | Time(s) 0.0263
Epoch 00027 | Train Loss 0.1595 | Train Acc 0.9646 | Val Loss 0.5581 | Val Acc 0.8400 | Time(s) 0.0264
Epoch 00028 | Train Loss 0.1413 | Train Acc 0.9747 | Val Loss 0.5599 | Val Acc 0.8400 | Time(s) 0.0263
Epoch 00029 | Train Loss 0.1545 | Train Acc 0.9747 | Val Loss 0.5619 | Val Acc 0.8400 | Time(s) 0.0264
Epoch 00030 | Train Loss 0.1362 | Train Acc 0.9672 | Val Loss 0.5645 | Val Acc 0.8400 | Time(s) 0.0265
Epoch 00031 | Train Loss 0.1384 | Train Acc 0.9722 | Val Loss 0.5674 | Val Acc 0.8400 | Time(s) 0.0265
Epoch 00032 | Train Loss 0.1379 | Train Acc 0.9697 | Val Loss 0.5705 | Val Acc 0.8400 | Time(s) 0.0266
Epoch 00033 | Train Loss 0.1099 | Train Acc 0.9773 | Val Loss 0.5741 | Val Acc 0.8400 | Time(s) 0.0267
Epoch 00034 | Train Loss 0.1146 | Train Acc 0.9798 | Val Loss 0.5780 | Val Acc 0.8400 | Time(s) 0.0266
Epoch 00035 | Train Loss 0.1062 | Train Acc 0.9773 | Val Loss 0.5820 | Val Acc 0.8400 | Time(s) 0.0265
Epoch 00036 | Train Loss 0.1078 | Train Acc 0.9848 | Val Loss 0.5860 | Val Acc 0.8400 | Time(s) 0.0266
Epoch 00037 | Train Loss 0.1063 | Train Acc 0.9798 | Val Loss 0.5901 | Val Acc 0.8400 | Time(s) 0.0267
Epoch 00038 | Train Loss 0.1013 | Train Acc 0.9848 | Val Loss 0.5943 | Val Acc 0.8400 | Time(s) 0.0268
Epoch 00039 | Train Loss 0.0984 | Train Acc 0.9773 | Val Loss 0.5985 | Val Acc 0.8400 | Time(s) 0.0268
Epoch 00040 | Train Loss 0.0906 | Train Acc 0.9798 | Val Loss 0.6025 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00041 | Train Loss 0.0839 | Train Acc 0.9899 | Val Loss 0.6066 | Val Acc 0.8400 | Time(s) 0.0268
Epoch 00042 | Train Loss 0.1002 | Train Acc 0.9848 | Val Loss 0.6106 | Val Acc 0.8400 | Time(s) 0.0267
Epoch 00043 | Train Loss 0.0850 | Train Acc 0.9848 | Val Loss 0.6149 | Val Acc 0.8400 | Time(s) 0.0267
Epoch 00044 | Train Loss 0.0833 | Train Acc 0.9848 | Val Loss 0.6191 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00045 | Train Loss 0.0806 | Train Acc 0.9848 | Val Loss 0.6232 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00046 | Train Loss 0.0771 | Train Acc 0.9924 | Val Loss 0.6270 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00047 | Train Loss 0.0677 | Train Acc 0.9899 | Val Loss 0.6307 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00048 | Train Loss 0.0695 | Train Acc 0.9899 | Val Loss 0.6343 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00049 | Train Loss 0.0712 | Train Acc 0.9874 | Val Loss 0.6378 | Val Acc 0.8200 | Time(s) 0.0268
Epoch 00050 | Train Loss 0.0644 | Train Acc 0.9924 | Val Loss 0.6412 | Val Acc 0.8200 | Time(s) 0.0268
Epoch 00051 | Train Loss 0.0654 | Train Acc 0.9874 | Val Loss 0.6446 | Val Acc 0.8200 | Time(s) 0.0269
Epoch 00052 | Train Loss 0.0710 | Train Acc 0.9848 | Val Loss 0.6478 | Val Acc 0.8200 | Time(s) 0.0269
Epoch 00053 | Train Loss 0.0614 | Train Acc 0.9924 | Val Loss 0.6508 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00054 | Train Loss 0.0572 | Train Acc 0.9874 | Val Loss 0.6536 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00055 | Train Loss 0.0604 | Train Acc 0.9899 | Val Loss 0.6566 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00056 | Train Loss 0.0557 | Train Acc 0.9924 | Val Loss 0.6592 | Val Acc 0.8200 | Time(s) 0.0271
Epoch 00057 | Train Loss 0.0657 | Train Acc 0.9899 | Val Loss 0.6620 | Val Acc 0.8200 | Time(s) 0.0271
Epoch 00058 | Train Loss 0.0568 | Train Acc 0.9899 | Val Loss 0.6649 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00059 | Train Loss 0.0635 | Train Acc 0.9924 | Val Loss 0.6675 | Val Acc 0.8200 | Time(s) 0.0269
Epoch 00060 | Train Loss 0.0478 | Train Acc 0.9924 | Val Loss 0.6699 | Val Acc 0.8200 | Time(s) 0.0269
Epoch 00061 | Train Loss 0.0539 | Train Acc 0.9899 | Val Loss 0.6720 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00062 | Train Loss 0.0516 | Train Acc 0.9874 | Val Loss 0.6741 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00063 | Train Loss 0.0535 | Train Acc 0.9975 | Val Loss 0.6759 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00064 | Train Loss 0.0472 | Train Acc 0.9899 | Val Loss 0.6775 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00065 | Train Loss 0.0478 | Train Acc 1.0000 | Val Loss 0.6791 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00066 | Train Loss 0.0420 | Train Acc 0.9949 | Val Loss 0.6807 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00067 | Train Loss 0.0417 | Train Acc 0.9975 | Val Loss 0.6822 | Val Acc 0.8200 | Time(s) 0.0270
Epoch 00068 | Train Loss 0.0442 | Train Acc 0.9874 | Val Loss 0.6839 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00069 | Train Loss 0.0462 | Train Acc 0.9949 | Val Loss 0.6856 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00070 | Train Loss 0.0458 | Train Acc 0.9949 | Val Loss 0.6872 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00071 | Train Loss 0.0402 | Train Acc 0.9924 | Val Loss 0.6884 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00072 | Train Loss 0.0362 | Train Acc 0.9949 | Val Loss 0.6898 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00073 | Train Loss 0.0412 | Train Acc 0.9949 | Val Loss 0.6915 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00074 | Train Loss 0.0385 | Train Acc 0.9949 | Val Loss 0.6932 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00075 | Train Loss 0.0400 | Train Acc 0.9899 | Val Loss 0.6951 | Val Acc 0.8400 | Time(s) 0.0269
Epoch 00076 | Train Loss 0.0411 | Train Acc 0.9899 | Val Loss 0.6963 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00077 | Train Loss 0.0374 | Train Acc 0.9924 | Val Loss 0.6972 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00078 | Train Loss 0.0401 | Train Acc 0.9924 | Val Loss 0.6982 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00079 | Train Loss 0.0442 | Train Acc 0.9924 | Val Loss 0.6993 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00080 | Train Loss 0.0373 | Train Acc 0.9924 | Val Loss 0.7003 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00081 | Train Loss 0.0322 | Train Acc 0.9949 | Val Loss 0.7016 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00082 | Train Loss 0.0401 | Train Acc 0.9874 | Val Loss 0.7028 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00083 | Train Loss 0.0376 | Train Acc 0.9924 | Val Loss 0.7042 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00084 | Train Loss 0.0351 | Train Acc 0.9924 | Val Loss 0.7057 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00085 | Train Loss 0.0322 | Train Acc 0.9975 | Val Loss 0.7074 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00086 | Train Loss 0.0373 | Train Acc 0.9924 | Val Loss 0.7089 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00087 | Train Loss 0.0349 | Train Acc 0.9949 | Val Loss 0.7103 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00088 | Train Loss 0.0356 | Train Acc 0.9949 | Val Loss 0.7116 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00089 | Train Loss 0.0333 | Train Acc 0.9949 | Val Loss 0.7130 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00090 | Train Loss 0.0372 | Train Acc 0.9924 | Val Loss 0.7143 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00091 | Train Loss 0.0357 | Train Acc 0.9949 | Val Loss 0.7157 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00092 | Train Loss 0.0367 | Train Acc 0.9924 | Val Loss 0.7172 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00093 | Train Loss 0.0334 | Train Acc 1.0000 | Val Loss 0.7185 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00094 | Train Loss 0.0381 | Train Acc 0.9924 | Val Loss 0.7199 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00095 | Train Loss 0.0271 | Train Acc 0.9975 | Val Loss 0.7213 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00096 | Train Loss 0.0321 | Train Acc 0.9975 | Val Loss 0.7226 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00097 | Train Loss 0.0316 | Train Acc 0.9924 | Val Loss 0.7240 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00098 | Train Loss 0.0274 | Train Acc 1.0000 | Val Loss 0.7252 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00099 | Train Loss 0.0299 | Train Acc 0.9975 | Val Loss 0.7266 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00100 | Train Loss 0.0388 | Train Acc 0.9949 | Val Loss 0.7280 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00101 | Train Loss 0.0367 | Train Acc 0.9899 | Val Loss 0.7295 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00102 | Train Loss 0.0318 | Train Acc 0.9924 | Val Loss 0.7308 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00103 | Train Loss 0.0341 | Train Acc 0.9924 | Val Loss 0.7321 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00104 | Train Loss 0.0313 | Train Acc 1.0000 | Val Loss 0.7334 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00105 | Train Loss 0.0283 | Train Acc 0.9975 | Val Loss 0.7350 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00106 | Train Loss 0.0305 | Train Acc 0.9975 | Val Loss 0.7365 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00107 | Train Loss 0.0268 | Train Acc 0.9949 | Val Loss 0.7380 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00108 | Train Loss 0.0293 | Train Acc 0.9975 | Val Loss 0.7395 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00109 | Train Loss 0.0260 | Train Acc 1.0000 | Val Loss 0.7412 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00110 | Train Loss 0.0277 | Train Acc 0.9949 | Val Loss 0.7427 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00111 | Train Loss 0.0282 | Train Acc 0.9949 | Val Loss 0.7440 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00112 | Train Loss 0.0286 | Train Acc 1.0000 | Val Loss 0.7454 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00113 | Train Loss 0.0266 | Train Acc 0.9975 | Val Loss 0.7469 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00114 | Train Loss 0.0293 | Train Acc 1.0000 | Val Loss 0.7485 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00115 | Train Loss 0.0247 | Train Acc 1.0000 | Val Loss 0.7500 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00116 | Train Loss 0.0247 | Train Acc 0.9975 | Val Loss 0.7513 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00117 | Train Loss 0.0287 | Train Acc 0.9949 | Val Loss 0.7528 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00118 | Train Loss 0.0252 | Train Acc 1.0000 | Val Loss 0.7543 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00119 | Train Loss 0.0311 | Train Acc 0.9924 | Val Loss 0.7561 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00120 | Train Loss 0.0245 | Train Acc 0.9975 | Val Loss 0.7580 | Val Acc 0.8400 | Time(s) 0.0270
Epoch 00121 | Train Loss 0.0251 | Train Acc 1.0000 | Val Loss 0.7599 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00122 | Train Loss 0.0230 | Train Acc 0.9949 | Val Loss 0.7614 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00123 | Train Loss 0.0276 | Train Acc 0.9924 | Val Loss 0.7628 | Val Acc 0.8400 | Time(s) 0.0271
Epoch 00124 | Train Loss 0.0266 | Train Acc 0.9975 | Val Loss 0.7640 | Val Acc 0.8400 | Time(s) 0.0272
Epoch 00125 | Train Loss 0.0260 | Train Acc 0.9975 | Val Loss 0.7652 | Val Acc 0.8400 | Time(s) 0.0272
Test Loss 0.5041 | Test Acc 0.8400
lr=0.001, weight_decay=0.0005, n_hidden=64, n_epochs=5000, lr_decay=0.8, lr_patience=50, epoch_patience=100
val_mask: 50, train_mask: 396, test_mask: 50
(2480, 1390)

ACTUAL ACCURACY = 0.801915
