Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(104):
	cv_params={'layer': [2], 'hidden': [64], 'net': [<class 'models.GCNConv'>], 'lr': [0.01], 'epoch': [1500]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 1500, 'hidden': 64, 'layer': 2, 'lr': 0.01, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 0.007805257569998503, 'val_loss': 1.7415626049041748, 'test_acc': 0.7699999809265137}
{'fold': 0, 'epoch': 100, 'train_loss': 0.0031725314911454916, 'val_loss': 1.4110265970230103, 'test_acc': 0.7799999713897705}
{'fold': 0, 'epoch': 150, 'train_loss': 0.007172053679823875, 'val_loss': 1.1846234798431396, 'test_acc': 0.7300000190734863}
{'fold': 0, 'epoch': 200, 'train_loss': 0.00686237309128046, 'val_loss': 1.2224385738372803, 'test_acc': 0.7799999713897705}
{'fold': 0, 'epoch': 250, 'train_loss': 0.005048623774200678, 'val_loss': 1.2025922536849976, 'test_acc': 0.800000011920929}
{'fold': 0, 'epoch': 300, 'train_loss': 0.004817033652216196, 'val_loss': 1.2024716138839722, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 350, 'train_loss': 0.007336147129535675, 'val_loss': 1.1987957954406738, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 400, 'train_loss': 0.005562769249081612, 'val_loss': 1.2147939205169678, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 450, 'train_loss': 0.009135817177593708, 'val_loss': 1.2130444049835205, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 500, 'train_loss': 0.006856988184154034, 'val_loss': 1.2132011651992798, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 550, 'train_loss': 0.0056000323966145515, 'val_loss': 1.2129008769989014, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 600, 'train_loss': 0.007072413340210915, 'val_loss': 1.2123808860778809, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 650, 'train_loss': 0.005980994552373886, 'val_loss': 1.2123959064483643, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 700, 'train_loss': 0.005565764848142862, 'val_loss': 1.2122529745101929, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 750, 'train_loss': 0.00748106837272644, 'val_loss': 1.212540626525879, 'test_acc': 0.7900000214576721}
