Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(106):
	cv_params={'layer': [4], 'hidden': [32], 'net': [<class 'models.GCNConv'>], 'lr': [0.001], 'epoch': [3000]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 3000, 'hidden': 32, 'layer': 4, 'lr': 0.001, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 1.4740220308303833, 'val_loss': 1.4208927154541016, 'test_acc': 0.5199999809265137}
{'fold': 0, 'epoch': 100, 'train_loss': 0.9378382563591003, 'val_loss': 0.9449055194854736, 'test_acc': 0.6100000143051147}
{'fold': 0, 'epoch': 150, 'train_loss': 0.8152532577514648, 'val_loss': 0.8508987426757812, 'test_acc': 0.6499999761581421}
{'fold': 0, 'epoch': 200, 'train_loss': 0.7122094035148621, 'val_loss': 0.824944257736206, 'test_acc': 0.6499999761581421}
{'fold': 0, 'epoch': 250, 'train_loss': 0.6655921936035156, 'val_loss': 0.8183677792549133, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 300, 'train_loss': 0.6455115079879761, 'val_loss': 0.814726710319519, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 350, 'train_loss': 0.6543141603469849, 'val_loss': 0.813744843006134, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 400, 'train_loss': 0.6668386459350586, 'val_loss': 0.8129098415374756, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 450, 'train_loss': 0.630685031414032, 'val_loss': 0.8127941489219666, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 500, 'train_loss': 0.6443876028060913, 'val_loss': 0.8126165270805359, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 550, 'train_loss': 0.6436811089515686, 'val_loss': 0.8125391006469727, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 600, 'train_loss': 0.6082515120506287, 'val_loss': 0.8125271797180176, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 650, 'train_loss': 0.6995222568511963, 'val_loss': 0.8125350475311279, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 700, 'train_loss': 0.6322726607322693, 'val_loss': 0.8125172853469849, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 750, 'train_loss': 0.6269333958625793, 'val_loss': 0.8125147819519043, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 800, 'train_loss': 0.6512049436569214, 'val_loss': 0.8125122785568237, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 850, 'train_loss': 0.6537774205207825, 'val_loss': 0.8125105500221252, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 900, 'train_loss': 0.6739183664321899, 'val_loss': 0.8125104308128357, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 950, 'train_loss': 0.6534588932991028, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1000, 'train_loss': 0.6523967981338501, 'val_loss': 0.8125103116035461, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1050, 'train_loss': 0.6336344480514526, 'val_loss': 0.8125103116035461, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1100, 'train_loss': 0.6391828060150146, 'val_loss': 0.8125103116035461, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1150, 'train_loss': 0.623468279838562, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1200, 'train_loss': 0.6385126709938049, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1250, 'train_loss': 0.6353858709335327, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1300, 'train_loss': 0.6532020568847656, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1350, 'train_loss': 0.6510689854621887, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1400, 'train_loss': 0.6824771165847778, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1450, 'train_loss': 0.6364266872406006, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1500, 'train_loss': 0.691173791885376, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1550, 'train_loss': 0.6960596442222595, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1600, 'train_loss': 0.6240171194076538, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1650, 'train_loss': 0.630163848400116, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1700, 'train_loss': 0.6621776819229126, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1750, 'train_loss': 0.5770845413208008, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1800, 'train_loss': 0.6768912672996521, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1850, 'train_loss': 0.6938868761062622, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1900, 'train_loss': 0.6705514192581177, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 1950, 'train_loss': 0.6733137369155884, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2000, 'train_loss': 0.651623547077179, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2050, 'train_loss': 0.6282210350036621, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2100, 'train_loss': 0.6296356916427612, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2150, 'train_loss': 0.637588620185852, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2200, 'train_loss': 0.6268997192382812, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2250, 'train_loss': 0.6338422894477844, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2300, 'train_loss': 0.6291753053665161, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2350, 'train_loss': 0.6784297823905945, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2400, 'train_loss': 0.6252328753471375, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2450, 'train_loss': 0.6478545069694519, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2500, 'train_loss': 0.6336671710014343, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2550, 'train_loss': 0.626929521560669, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2600, 'train_loss': 0.6847591400146484, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2650, 'train_loss': 0.6258717775344849, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2700, 'train_loss': 0.6369072198867798, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2750, 'train_loss': 0.6397426128387451, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2800, 'train_loss': 0.6340895891189575, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2850, 'train_loss': 0.6428792476654053, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2900, 'train_loss': 0.6138139367103577, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 2950, 'train_loss': 0.598713219165802, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 0, 'epoch': 3000, 'train_loss': 0.6315882802009583, 'val_loss': 0.8125102519989014, 'test_acc': 0.6399999856948853}
{'fold': 1, 'epoch': 50, 'train_loss': 1.4313068389892578, 'val_loss': 1.559928297996521, 'test_acc': 0.3030303120613098}
{'fold': 1, 'epoch': 100, 'train_loss': 0.9335556030273438, 'val_loss': 1.1942130327224731, 'test_acc': 0.6565656661987305}
{'fold': 1, 'epoch': 150, 'train_loss': 0.7167117595672607, 'val_loss': 1.1198451519012451, 'test_acc': 0.6767676472663879}
{'fold': 1, 'epoch': 200, 'train_loss': 0.6210759878158569, 'val_loss': 1.1097692251205444, 'test_acc': 0.6767676472663879}
{'fold': 1, 'epoch': 250, 'train_loss': 0.6258928775787354, 'val_loss': 1.1069475412368774, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 300, 'train_loss': 0.5758242011070251, 'val_loss': 1.1103806495666504, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 350, 'train_loss': 0.6073489785194397, 'val_loss': 1.1104185581207275, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 400, 'train_loss': 0.5805941820144653, 'val_loss': 1.1093659400939941, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 450, 'train_loss': 0.5617479085922241, 'val_loss': 1.1092033386230469, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 500, 'train_loss': 0.5828186869621277, 'val_loss': 1.110538363456726, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 550, 'train_loss': 0.6415036916732788, 'val_loss': 1.1108202934265137, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 600, 'train_loss': 0.5668577551841736, 'val_loss': 1.1109603643417358, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 650, 'train_loss': 0.5930973887443542, 'val_loss': 1.1107343435287476, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 700, 'train_loss': 0.5929020047187805, 'val_loss': 1.1107882261276245, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 750, 'train_loss': 0.5988091230392456, 'val_loss': 1.1107404232025146, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 800, 'train_loss': 0.5653144121170044, 'val_loss': 1.1107537746429443, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 850, 'train_loss': 0.6293166875839233, 'val_loss': 1.110751986503601, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 900, 'train_loss': 0.5958446264266968, 'val_loss': 1.1107500791549683, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 950, 'train_loss': 0.5923957228660583, 'val_loss': 1.1107490062713623, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1000, 'train_loss': 0.593384325504303, 'val_loss': 1.1107488870620728, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1050, 'train_loss': 0.5831121802330017, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1100, 'train_loss': 0.5787511467933655, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1150, 'train_loss': 0.6052810549736023, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1200, 'train_loss': 0.5725587606430054, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1250, 'train_loss': 0.6367499232292175, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1300, 'train_loss': 0.5504427552223206, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1350, 'train_loss': 0.594099760055542, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1400, 'train_loss': 0.5923765897750854, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1450, 'train_loss': 0.5703150033950806, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1500, 'train_loss': 0.6124302744865417, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1550, 'train_loss': 0.6038925051689148, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1600, 'train_loss': 0.6116368770599365, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1650, 'train_loss': 0.5970105528831482, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
{'fold': 1, 'epoch': 1700, 'train_loss': 0.581612765789032, 'val_loss': 1.1107487678527832, 'test_acc': 0.6666666865348816}
