Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(107):
	cv_params={'layer': [2], 'hidden': [256], 'net': [<class 'models.GCNConv'>], 'lr': [0.01], 'epoch': [3000]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 3000, 'hidden': 256, 'layer': 2, 'lr': 0.01, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 0.002581849927082658, 'val_loss': 1.716353416442871, 'test_acc': 0.7799999713897705}
{'fold': 0, 'epoch': 100, 'train_loss': 0.0016820754390209913, 'val_loss': 1.5530472993850708, 'test_acc': 0.800000011920929}
{'fold': 0, 'epoch': 150, 'train_loss': 0.003008713712915778, 'val_loss': 1.3917146921157837, 'test_acc': 0.800000011920929}
{'fold': 0, 'epoch': 200, 'train_loss': 0.002080697799101472, 'val_loss': 1.3173984289169312, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 250, 'train_loss': 0.0018569323001429439, 'val_loss': 1.2770988941192627, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 300, 'train_loss': 0.0027498994022607803, 'val_loss': 1.2554885149002075, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 350, 'train_loss': 0.002540016546845436, 'val_loss': 1.2464991807937622, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 400, 'train_loss': 0.001967634307220578, 'val_loss': 1.2362993955612183, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 450, 'train_loss': 0.0019124188693240285, 'val_loss': 1.2350558042526245, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 500, 'train_loss': 0.0027499196585267782, 'val_loss': 1.2339085340499878, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 550, 'train_loss': 0.0026473887264728546, 'val_loss': 1.2327481508255005, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 600, 'train_loss': 0.001728522009216249, 'val_loss': 1.2318774461746216, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 650, 'train_loss': 0.0025684311985969543, 'val_loss': 1.2317568063735962, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 700, 'train_loss': 0.0042078373953700066, 'val_loss': 1.2316629886627197, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 750, 'train_loss': 0.002954815747216344, 'val_loss': 1.2316415309906006, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 800, 'train_loss': 0.0028438782319426537, 'val_loss': 1.2316542863845825, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 850, 'train_loss': 0.002752391854301095, 'val_loss': 1.231646180152893, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 900, 'train_loss': 0.0026800755877047777, 'val_loss': 1.2316359281539917, 'test_acc': 0.7900000214576721}
