Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(108):
	cv_params={'layer': [2], 'hidden': [32, 48, 64], 'net': [<class 'models.GCNConv'>], 'lr': [0.1], 'epoch': [1500]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 1500, 'hidden': 32, 'layer': 2, 'lr': 0.1, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 0.16851383447647095, 'val_loss': 4.694533348083496, 'test_acc': 0.7300000190734863}
{'fold': 0, 'epoch': 100, 'train_loss': 0.09845404326915741, 'val_loss': 3.0427603721618652, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 150, 'train_loss': 0.06391606479883194, 'val_loss': 3.4294636249542236, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 200, 'train_loss': 0.05242924764752388, 'val_loss': 3.1479973793029785, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 250, 'train_loss': 0.045623909682035446, 'val_loss': 3.2756943702697754, 'test_acc': 0.7699999809265137}
{'fold': 0, 'epoch': 300, 'train_loss': 0.03353160247206688, 'val_loss': 3.1046009063720703, 'test_acc': 0.7699999809265137}
{'fold': 0, 'epoch': 350, 'train_loss': 0.030876589938998222, 'val_loss': 3.1012818813323975, 'test_acc': 0.7699999809265137}
{'fold': 0, 'epoch': 400, 'train_loss': 0.05016529932618141, 'val_loss': 3.0732831954956055, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 450, 'train_loss': 0.038100678473711014, 'val_loss': 3.1448006629943848, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 500, 'train_loss': 0.05634754151105881, 'val_loss': 3.074784994125366, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 550, 'train_loss': 0.051022719591856, 'val_loss': 3.107435703277588, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 600, 'train_loss': 0.03987664729356766, 'val_loss': 3.1169657707214355, 'test_acc': 0.7599999904632568}
