# Run(50) parameters:
	n_epochs=50,
	lr=0.001,
	lr_decay=0.8,
	weight_decay=0.0005,
	cv_layers=[2, 3, 4, 5],
	cv_hiddens=[16, 32, 64, 128],
	cv_models=<class 'models.GCN'>

# Evaluating model(0): n_layers=2, n_hidden=16
{'fold': 0, 'epoch': 10, 'train_loss': 1.9562122821807861, 'val_loss': 1.956504464149475, 'test_acc': 0.07999999821186066}
{'fold': 0, 'epoch': 20, 'train_loss': 1.9228404760360718, 'val_loss': 1.9238173961639404, 'test_acc': 0.20000000298023224}
{'fold': 0, 'epoch': 30, 'train_loss': 1.8807049989700317, 'val_loss': 1.8745437860488892, 'test_acc': 0.3400000035762787}
{'fold': 0, 'epoch': 40, 'train_loss': 1.824278712272644, 'val_loss': 1.8040786981582642, 'test_acc': 0.3799999952316284}
{'fold': 0, 'epoch': 50, 'train_loss': 1.7208391427993774, 'val_loss': 1.7072134017944336, 'test_acc': 0.41999998688697815}
{'fold': 1, 'epoch': 10, 'train_loss': 1.9083669185638428, 'val_loss': 1.915097713470459, 'test_acc': 0.14000000059604645}
{'fold': 1, 'epoch': 20, 'train_loss': 1.8919767141342163, 'val_loss': 1.8986529111862183, 'test_acc': 0.36000001430511475}
{'fold': 1, 'epoch': 30, 'train_loss': 1.8560575246810913, 'val_loss': 1.8736745119094849, 'test_acc': 0.3799999952316284}
{'fold': 1, 'epoch': 40, 'train_loss': 1.8043471574783325, 'val_loss': 1.835564136505127, 'test_acc': 0.36000001430511475}
{'fold': 1, 'epoch': 50, 'train_loss': 1.725995421409607, 'val_loss': 1.7771694660186768, 'test_acc': 0.36000001430511475}
{'fold': 2, 'epoch': 10, 'train_loss': 1.962855339050293, 'val_loss': 1.9616878032684326, 'test_acc': 0.11999999731779099}
{'fold': 2, 'epoch': 20, 'train_loss': 1.9347569942474365, 'val_loss': 1.9319424629211426, 'test_acc': 0.1599999964237213}
{'fold': 2, 'epoch': 30, 'train_loss': 1.87632155418396, 'val_loss': 1.8843929767608643, 'test_acc': 0.18000000715255737}
{'fold': 2, 'epoch': 40, 'train_loss': 1.8039436340332031, 'val_loss': 1.8184016942977905, 'test_acc': 0.18000000715255737}
{'fold': 2, 'epoch': 50, 'train_loss': 1.7151731252670288, 'val_loss': 1.7356865406036377, 'test_acc': 0.23999999463558197}
{'fold': 3, 'epoch': 10, 'train_loss': 1.8936723470687866, 'val_loss': 1.8952981233596802, 'test_acc': 0.3400000035762787}
{'fold': 3, 'epoch': 20, 'train_loss': 1.861298680305481, 'val_loss': 1.8601380586624146, 'test_acc': 0.3199999928474426}
{'fold': 3, 'epoch': 30, 'train_loss': 1.8121095895767212, 'val_loss': 1.8102307319641113, 'test_acc': 0.30000001192092896}
{'fold': 3, 'epoch': 40, 'train_loss': 1.7349879741668701, 'val_loss': 1.7393254041671753, 'test_acc': 0.3400000035762787}
{'fold': 3, 'epoch': 50, 'train_loss': 1.6659331321716309, 'val_loss': 1.6443325281143188, 'test_acc': 0.3199999928474426}
{'fold': 4, 'epoch': 10, 'train_loss': 1.935630440711975, 'val_loss': 1.9413777589797974, 'test_acc': 0.1599999964237213}
{'fold': 4, 'epoch': 20, 'train_loss': 1.9198819398880005, 'val_loss': 1.9247827529907227, 'test_acc': 0.1599999964237213}
{'fold': 4, 'epoch': 30, 'train_loss': 1.9014008045196533, 'val_loss': 1.9028774499893188, 'test_acc': 0.2800000011920929}
{'fold': 4, 'epoch': 40, 'train_loss': 1.8595972061157227, 'val_loss': 1.869807481765747, 'test_acc': 0.3400000035762787}
{'fold': 4, 'epoch': 50, 'train_loss': 1.7789057493209839, 'val_loss': 1.818213701248169, 'test_acc': 0.3799999952316284}
{'fold': 5, 'epoch': 10, 'train_loss': 1.8896180391311646, 'val_loss': 1.8961361646652222, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 20, 'train_loss': 1.8648875951766968, 'val_loss': 1.8772426843643188, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 30, 'train_loss': 1.8240126371383667, 'val_loss': 1.8457489013671875, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 40, 'train_loss': 1.7713881731033325, 'val_loss': 1.7958688735961914, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 50, 'train_loss': 1.6937428712844849, 'val_loss': 1.7211244106292725, 'test_acc': 0.30000001192092896}
{'fold': 6, 'epoch': 10, 'train_loss': 1.9700603485107422, 'val_loss': 1.9672333002090454, 'test_acc': 0.06122449040412903}
{'fold': 6, 'epoch': 20, 'train_loss': 1.94355309009552, 'val_loss': 1.9454575777053833, 'test_acc': 0.10204081982374191}
{'fold': 6, 'epoch': 30, 'train_loss': 1.906148076057434, 'val_loss': 1.906455397605896, 'test_acc': 0.3877550959587097}
{'fold': 6, 'epoch': 40, 'train_loss': 1.8422421216964722, 'val_loss': 1.8466408252716064, 'test_acc': 0.40816327929496765}
{'fold': 6, 'epoch': 50, 'train_loss': 1.7597521543502808, 'val_loss': 1.758680820465088, 'test_acc': 0.5306122303009033}
{'fold': 7, 'epoch': 10, 'train_loss': 1.8969427347183228, 'val_loss': 1.8894308805465698, 'test_acc': 0.3469387888908386}
{'fold': 7, 'epoch': 20, 'train_loss': 1.8744488954544067, 'val_loss': 1.8608496189117432, 'test_acc': 0.4897959232330322}
{'fold': 7, 'epoch': 30, 'train_loss': 1.8299832344055176, 'val_loss': 1.8188620805740356, 'test_acc': 0.5306122303009033}
{'fold': 7, 'epoch': 40, 'train_loss': 1.7803901433944702, 'val_loss': 1.7613255977630615, 'test_acc': 0.5510203838348389}
{'fold': 7, 'epoch': 50, 'train_loss': 1.6889305114746094, 'val_loss': 1.6829030513763428, 'test_acc': 0.5714285969734192}
{'fold': 8, 'epoch': 10, 'train_loss': 1.9307951927185059, 'val_loss': 1.927793264389038, 'test_acc': 0.2857142984867096}
{'fold': 8, 'epoch': 20, 'train_loss': 1.8905030488967896, 'val_loss': 1.8913991451263428, 'test_acc': 0.3469387888908386}
{'fold': 8, 'epoch': 30, 'train_loss': 1.8464891910552979, 'val_loss': 1.8324211835861206, 'test_acc': 0.3469387888908386}
{'fold': 8, 'epoch': 40, 'train_loss': 1.7604355812072754, 'val_loss': 1.7438303232192993, 'test_acc': 0.40816327929496765}
{'fold': 8, 'epoch': 50, 'train_loss': 1.6614303588867188, 'val_loss': 1.6297612190246582, 'test_acc': 0.4897959232330322}
