# Run(56) parameters:
	n_epochs=500,
	lr=0.001,
	lr_decay=0.9,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=10,
	cv_layers=[2, 3],
	cv_hiddens=[32, 64, 128],
	cv_models=<class 'models.GCN'>

# Evaluating model(0): n_layers=2, n_hidden=32
{'fold': 0, 'epoch': 50, 'train_loss': 0.5155534744262695, 'val_loss': 0.664775550365448, 'test_acc': 0.7400000095367432}
{'fold': 0, 'epoch': 100, 'train_loss': 0.13220882415771484, 'val_loss': 0.8212013840675354, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 150, 'train_loss': 0.0563250333070755, 'val_loss': 1.121024489402771, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 200, 'train_loss': 0.050383541733026505, 'val_loss': 1.3612046241760254, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 250, 'train_loss': 0.031083660200238228, 'val_loss': 1.5268747806549072, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 300, 'train_loss': 0.014538602903485298, 'val_loss': 1.6539862155914307, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 350, 'train_loss': 0.0283719003200531, 'val_loss': 1.681176781654358, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 400, 'train_loss': 0.027130980044603348, 'val_loss': 1.8113737106323242, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 450, 'train_loss': 0.01596502587199211, 'val_loss': 1.8432433605194092, 'test_acc': 0.7599999904632568}
{'fold': 0, 'epoch': 500, 'train_loss': 0.027363436296582222, 'val_loss': 1.9027435779571533, 'test_acc': 0.7599999904632568}
{'fold': 1, 'epoch': 50, 'train_loss': 0.6602956056594849, 'val_loss': 1.105115532875061, 'test_acc': 0.7400000095367432}
{'fold': 1, 'epoch': 100, 'train_loss': 0.17658545076847076, 'val_loss': 1.3066233396530151, 'test_acc': 0.8199999928474426}
{'fold': 1, 'epoch': 150, 'train_loss': 0.07497382164001465, 'val_loss': 1.6038422584533691, 'test_acc': 0.8199999928474426}
{'fold': 1, 'epoch': 200, 'train_loss': 0.04030456021428108, 'val_loss': 1.8337068557739258, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 250, 'train_loss': 0.04162941128015518, 'val_loss': 2.0027713775634766, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 300, 'train_loss': 0.031719498336315155, 'val_loss': 2.1190314292907715, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 350, 'train_loss': 0.036596622318029404, 'val_loss': 2.2020254135131836, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 400, 'train_loss': 0.02927655167877674, 'val_loss': 2.2730982303619385, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 450, 'train_loss': 0.02192027121782303, 'val_loss': 2.328181266784668, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 500, 'train_loss': 0.025015369057655334, 'val_loss': 2.3851592540740967, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 50, 'train_loss': 0.6994631290435791, 'val_loss': 0.8663961291313171, 'test_acc': 0.7599999904632568}
{'fold': 2, 'epoch': 100, 'train_loss': 0.18410249054431915, 'val_loss': 0.7633297443389893, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 150, 'train_loss': 0.08976887166500092, 'val_loss': 0.9434666633605957, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 200, 'train_loss': 0.05001010000705719, 'val_loss': 1.0626194477081299, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 250, 'train_loss': 0.03646043688058853, 'val_loss': 1.1204584836959839, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 300, 'train_loss': 0.0529923252761364, 'val_loss': 1.1560289859771729, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 350, 'train_loss': 0.03322434052824974, 'val_loss': 1.220499873161316, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 400, 'train_loss': 0.05541612580418587, 'val_loss': 1.2395315170288086, 'test_acc': 0.7799999713897705}
{'fold': 2, 'epoch': 450, 'train_loss': 0.035705916583538055, 'val_loss': 1.24896240234375, 'test_acc': 0.7799999713897705}
{'fold': 2, 'epoch': 500, 'train_loss': 0.02727016806602478, 'val_loss': 1.2923035621643066, 'test_acc': 0.7799999713897705}
{'fold': 3, 'epoch': 50, 'train_loss': 0.6101089715957642, 'val_loss': 0.8158526420593262, 'test_acc': 0.6600000262260437}
{'fold': 3, 'epoch': 100, 'train_loss': 0.1336991935968399, 'val_loss': 0.6199890375137329, 'test_acc': 0.7200000286102295}
{'fold': 3, 'epoch': 150, 'train_loss': 0.08311634510755539, 'val_loss': 0.729108452796936, 'test_acc': 0.7400000095367432}
{'fold': 3, 'epoch': 200, 'train_loss': 0.047845445573329926, 'val_loss': 0.8871024250984192, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 250, 'train_loss': 0.062408581376075745, 'val_loss': 0.9987874627113342, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 300, 'train_loss': 0.03449418023228645, 'val_loss': 1.0681560039520264, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 350, 'train_loss': 0.028722165152430534, 'val_loss': 1.1115007400512695, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 400, 'train_loss': 0.035406023263931274, 'val_loss': 1.1478720903396606, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 450, 'train_loss': 0.021943679079413414, 'val_loss': 1.1834959983825684, 'test_acc': 0.7599999904632568}
{'fold': 3, 'epoch': 500, 'train_loss': 0.014425289817154408, 'val_loss': 1.2058920860290527, 'test_acc': 0.7599999904632568}
{'fold': 4, 'epoch': 50, 'train_loss': 0.6012842059135437, 'val_loss': 0.9974761009216309, 'test_acc': 0.7799999713897705}
{'fold': 4, 'epoch': 100, 'train_loss': 0.1676243096590042, 'val_loss': 1.294134259223938, 'test_acc': 0.8799999952316284}
{'fold': 4, 'epoch': 150, 'train_loss': 0.07938400655984879, 'val_loss': 1.6678979396820068, 'test_acc': 0.8600000143051147}
{'fold': 4, 'epoch': 200, 'train_loss': 0.04892231896519661, 'val_loss': 1.9309839010238647, 'test_acc': 0.8999999761581421}
{'fold': 4, 'epoch': 250, 'train_loss': 0.04520132392644882, 'val_loss': 2.0985662937164307, 'test_acc': 0.8799999952316284}
{'fold': 4, 'epoch': 300, 'train_loss': 0.035026565194129944, 'val_loss': 2.274251937866211, 'test_acc': 0.8600000143051147}
{'fold': 4, 'epoch': 350, 'train_loss': 0.03345370665192604, 'val_loss': 2.3567111492156982, 'test_acc': 0.8799999952316284}
{'fold': 4, 'epoch': 400, 'train_loss': 0.040391433984041214, 'val_loss': 2.460923194885254, 'test_acc': 0.8799999952316284}
{'fold': 4, 'epoch': 450, 'train_loss': 0.02210298180580139, 'val_loss': 2.5528228282928467, 'test_acc': 0.8799999952316284}
{'fold': 4, 'epoch': 500, 'train_loss': 0.03310425952076912, 'val_loss': 2.5889110565185547, 'test_acc': 0.8600000143051147}
{'fold': 5, 'epoch': 50, 'train_loss': 0.6322917938232422, 'val_loss': 0.7452666759490967, 'test_acc': 0.7799999713897705}
{'fold': 5, 'epoch': 100, 'train_loss': 0.13690443336963654, 'val_loss': 0.37190884351730347, 'test_acc': 0.8600000143051147}
{'fold': 5, 'epoch': 150, 'train_loss': 0.07154811173677444, 'val_loss': 0.42326438426971436, 'test_acc': 0.8399999737739563}
{'fold': 5, 'epoch': 200, 'train_loss': 0.04717613011598587, 'val_loss': 0.4644433856010437, 'test_acc': 0.8399999737739563}
{'fold': 5, 'epoch': 250, 'train_loss': 0.05078614875674248, 'val_loss': 0.5034317374229431, 'test_acc': 0.8399999737739563}
{'fold': 5, 'epoch': 300, 'train_loss': 0.0379776768386364, 'val_loss': 0.5249247550964355, 'test_acc': 0.8399999737739563}
{'fold': 5, 'epoch': 350, 'train_loss': 0.028065131977200508, 'val_loss': 0.5760982632637024, 'test_acc': 0.8399999737739563}
{'fold': 5, 'epoch': 400, 'train_loss': 0.020554305985569954, 'val_loss': 0.5790027379989624, 'test_acc': 0.8600000143051147}
{'fold': 5, 'epoch': 450, 'train_loss': 0.02498055063188076, 'val_loss': 0.6043304204940796, 'test_acc': 0.8600000143051147}
{'fold': 5, 'epoch': 500, 'train_loss': 0.02308441698551178, 'val_loss': 0.6201958656311035, 'test_acc': 0.8600000143051147}
{'fold': 6, 'epoch': 50, 'train_loss': 0.6225812435150146, 'val_loss': 0.7060445547103882, 'test_acc': 0.7755101919174194}
{'fold': 6, 'epoch': 100, 'train_loss': 0.19483815133571625, 'val_loss': 0.6182464361190796, 'test_acc': 0.8163265585899353}
{'fold': 6, 'epoch': 150, 'train_loss': 0.10008514672517776, 'val_loss': 0.7630288004875183, 'test_acc': 0.795918345451355}
{'fold': 6, 'epoch': 200, 'train_loss': 0.0739777609705925, 'val_loss': 0.867388904094696, 'test_acc': 0.7755101919174194}
{'fold': 6, 'epoch': 250, 'train_loss': 0.04475942254066467, 'val_loss': 0.9267075061798096, 'test_acc': 0.7755101919174194}
{'fold': 6, 'epoch': 300, 'train_loss': 0.04833296686410904, 'val_loss': 0.9567070007324219, 'test_acc': 0.7755101919174194}
{'fold': 6, 'epoch': 350, 'train_loss': 0.03511374071240425, 'val_loss': 0.9998198747634888, 'test_acc': 0.7755101919174194}
{'fold': 6, 'epoch': 400, 'train_loss': 0.03119620680809021, 'val_loss': 1.008923053741455, 'test_acc': 0.7755101919174194}
