Compose([
  RemoveFreeColumns([30, 108, 444, 943, 1264]),
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  NormalizeFeatures(),
  SVDFeatureReduction(1300)
])
(2480, 1300)
# Run(62):
	cv_params={'layer': [2], 'hidden': [32, 64, 128], 'net': [<class 'models.GCNConv'>, <class 'models.GraphSAGE'>, <class 'models.GIN'>], 'lr': [0.0001, 0.001, 0.01], 'epoch': [150, 250, 500]},
	lr_decay=0.9,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=15,

# Evaluating model(0): {'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 1.9446985721588135, 'val_loss': 1.9432774782180786, 'test_acc': 0.14705882966518402}
{'fold': 0, 'epoch': 100, 'train_loss': 1.9394620656967163, 'val_loss': 1.9381458759307861, 'test_acc': 0.14705882966518402}
{'fold': 0, 'epoch': 150, 'train_loss': 1.9340660572052002, 'val_loss': 1.9327197074890137, 'test_acc': 0.14705882966518402}
{'fold': 1, 'epoch': 50, 'train_loss': 1.9524587392807007, 'val_loss': 1.9519671201705933, 'test_acc': 0.06060606241226196}
{'fold': 1, 'epoch': 100, 'train_loss': 1.9489637613296509, 'val_loss': 1.9467719793319702, 'test_acc': 0.1515151560306549}
{'fold': 1, 'epoch': 150, 'train_loss': 1.9433783292770386, 'val_loss': 1.9417773485183716, 'test_acc': 0.1515151560306549}
{'fold': 2, 'epoch': 50, 'train_loss': 1.9167989492416382, 'val_loss': 1.9126100540161133, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 100, 'train_loss': 1.9118341207504272, 'val_loss': 1.9078781604766846, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 150, 'train_loss': 1.9076670408248901, 'val_loss': 1.9032657146453857, 'test_acc': 0.3030303120613098}
{'fold': 3, 'epoch': 50, 'train_loss': 1.9381476640701294, 'val_loss': 1.9430440664291382, 'test_acc': 0.12121212482452393}
{'fold': 3, 'epoch': 100, 'train_loss': 1.9367657899856567, 'val_loss': 1.9375629425048828, 'test_acc': 0.12121212482452393}
{'fold': 3, 'epoch': 150, 'train_loss': 1.9317073822021484, 'val_loss': 1.9314249753952026, 'test_acc': 0.12121212482452393}
{'fold': 4, 'epoch': 50, 'train_loss': 1.9373008012771606, 'val_loss': 1.9383593797683716, 'test_acc': 0.1818181872367859}
{'fold': 4, 'epoch': 100, 'train_loss': 1.9323755502700806, 'val_loss': 1.9333467483520508, 'test_acc': 0.1818181872367859}
{'fold': 4, 'epoch': 150, 'train_loss': 1.924139380455017, 'val_loss': 1.9284309148788452, 'test_acc': 0.1818181872367859}
{'fold': 5, 'epoch': 50, 'train_loss': 1.932133436203003, 'val_loss': 1.9245704412460327, 'test_acc': 0.1818181872367859}
{'fold': 5, 'epoch': 100, 'train_loss': 1.926110029220581, 'val_loss': 1.91892409324646, 'test_acc': 0.1818181872367859}
{'fold': 5, 'epoch': 150, 'train_loss': 1.9155380725860596, 'val_loss': 1.913735032081604, 'test_acc': 0.1818181872367859}
{'fold': 6, 'epoch': 50, 'train_loss': 1.9391182661056519, 'val_loss': 1.9387290477752686, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 100, 'train_loss': 1.933803915977478, 'val_loss': 1.9338027238845825, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 150, 'train_loss': 1.9272719621658325, 'val_loss': 1.929187536239624, 'test_acc': 0.27272728085517883}
{'fold': 7, 'epoch': 50, 'train_loss': 1.962161660194397, 'val_loss': 1.9608147144317627, 'test_acc': 0.12121212482452393}
{'fold': 7, 'epoch': 100, 'train_loss': 1.9538991451263428, 'val_loss': 1.9555974006652832, 'test_acc': 0.12121212482452393}
{'fold': 7, 'epoch': 150, 'train_loss': 1.9515033960342407, 'val_loss': 1.9505192041397095, 'test_acc': 0.12121212482452393}
{'fold': 8, 'epoch': 50, 'train_loss': 1.9361294507980347, 'val_loss': 1.9334815740585327, 'test_acc': 0.06060606241226196}
{'fold': 8, 'epoch': 100, 'train_loss': 1.9339540004730225, 'val_loss': 1.9287604093551636, 'test_acc': 0.27272728085517883}
{'fold': 8, 'epoch': 150, 'train_loss': 1.929834008216858, 'val_loss': 1.9241065979003906, 'test_acc': 0.27272728085517883}
{'fold': 9, 'epoch': 50, 'train_loss': 1.9583739042282104, 'val_loss': 1.9581559896469116, 'test_acc': 0.06060606241226196}
{'fold': 9, 'epoch': 100, 'train_loss': 1.9526888132095337, 'val_loss': 1.950816035270691, 'test_acc': 0.06060606241226196}
{'fold': 9, 'epoch': 150, 'train_loss': 1.9421076774597168, 'val_loss': 1.9442089796066284, 'test_acc': 0.06060606241226196}
{'fold': 10, 'epoch': 50, 'train_loss': 1.967811942100525, 'val_loss': 1.961991548538208, 'test_acc': 0.1515151560306549}
{'fold': 10, 'epoch': 100, 'train_loss': 1.957175374031067, 'val_loss': 1.9551689624786377, 'test_acc': 0.1515151560306549}
{'fold': 10, 'epoch': 150, 'train_loss': 1.9538915157318115, 'val_loss': 1.9480984210968018, 'test_acc': 0.1515151560306549}
{'fold': 11, 'epoch': 50, 'train_loss': 1.945468544960022, 'val_loss': 1.9445106983184814, 'test_acc': 0.09090909361839294}
{'fold': 11, 'epoch': 100, 'train_loss': 1.935854196548462, 'val_loss': 1.9391719102859497, 'test_acc': 0.1515151560306549}
{'fold': 11, 'epoch': 150, 'train_loss': 1.9330922365188599, 'val_loss': 1.9338436126708984, 'test_acc': 0.3030303120613098}
{'fold': 12, 'epoch': 50, 'train_loss': 1.9607501029968262, 'val_loss': 1.9613258838653564, 'test_acc': 0.09090909361839294}
{'fold': 12, 'epoch': 100, 'train_loss': 1.9546726942062378, 'val_loss': 1.9552422761917114, 'test_acc': 0.09090909361839294}
{'fold': 12, 'epoch': 150, 'train_loss': 1.9487038850784302, 'val_loss': 1.9494545459747314, 'test_acc': 0.1515151560306549}
{'fold': 13, 'epoch': 50, 'train_loss': 1.9502781629562378, 'val_loss': 1.9491419792175293, 'test_acc': 0.1515151560306549}
{'fold': 13, 'epoch': 100, 'train_loss': 1.941770076751709, 'val_loss': 1.9419116973876953, 'test_acc': 0.1515151560306549}
{'fold': 13, 'epoch': 150, 'train_loss': 1.934053659439087, 'val_loss': 1.934608817100525, 'test_acc': 0.1515151560306549}
{'fold': 14, 'epoch': 50, 'train_loss': 1.9542192220687866, 'val_loss': 1.9529212713241577, 'test_acc': 0.1515151560306549}
{'fold': 14, 'epoch': 100, 'train_loss': 1.947474479675293, 'val_loss': 1.9447920322418213, 'test_acc': 0.1515151560306549}
{'fold': 14, 'epoch': 150, 'train_loss': 1.9375828504562378, 'val_loss': 1.936104416847229, 'test_acc': 0.1515151560306549}
Val Loss: 1.9334, Test Accuracy: 0.182 +/- 0.073, Duration: 7.730
Model(0) results: loss=1.933, accuracy=0.182, std=0.073, cv_params={'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GCNConv'>}
Best Model(0) results: loss=1.933, accuracy=0.182, std=0.073, cv_params={'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GCNConv'>}

# Evaluating model(1): {'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GraphSAGE'>}
{'fold': 0, 'epoch': 50, 'train_loss': 1.913114070892334, 'val_loss': 1.9027882814407349, 'test_acc': 0.29411765933036804}
{'fold': 0, 'epoch': 100, 'train_loss': 1.907166838645935, 'val_loss': 1.8950793743133545, 'test_acc': 0.29411765933036804}
{'fold': 0, 'epoch': 150, 'train_loss': 1.8978424072265625, 'val_loss': 1.88808012008667, 'test_acc': 0.29411765933036804}
{'fold': 1, 'epoch': 50, 'train_loss': 1.9672960042953491, 'val_loss': 1.9683310985565186, 'test_acc': 0.09090909361839294}
{'fold': 1, 'epoch': 100, 'train_loss': 1.9559510946273804, 'val_loss': 1.9590234756469727, 'test_acc': 0.09090909361839294}
{'fold': 1, 'epoch': 150, 'train_loss': 1.9546390771865845, 'val_loss': 1.9506734609603882, 'test_acc': 0.09090909361839294}
{'fold': 2, 'epoch': 50, 'train_loss': 1.945302963256836, 'val_loss': 1.9423210620880127, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 100, 'train_loss': 1.9335277080535889, 'val_loss': 1.9346685409545898, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 150, 'train_loss': 1.9294179677963257, 'val_loss': 1.927207112312317, 'test_acc': 0.3030303120613098}
{'fold': 3, 'epoch': 50, 'train_loss': 1.9620366096496582, 'val_loss': 1.9614489078521729, 'test_acc': 0.09090909361839294}
{'fold': 3, 'epoch': 100, 'train_loss': 1.9603021144866943, 'val_loss': 1.953874945640564, 'test_acc': 0.09090909361839294}
{'fold': 3, 'epoch': 150, 'train_loss': 1.9523167610168457, 'val_loss': 1.9472559690475464, 'test_acc': 0.09090909361839294}
{'fold': 4, 'epoch': 50, 'train_loss': 1.9314461946487427, 'val_loss': 1.9363460540771484, 'test_acc': 0.12121212482452393}
{'fold': 4, 'epoch': 100, 'train_loss': 1.9217631816864014, 'val_loss': 1.9275447130203247, 'test_acc': 0.12121212482452393}
{'fold': 4, 'epoch': 150, 'train_loss': 1.9208606481552124, 'val_loss': 1.9197921752929688, 'test_acc': 0.3030303120613098}
{'fold': 5, 'epoch': 50, 'train_loss': 1.9251919984817505, 'val_loss': 1.9244780540466309, 'test_acc': 0.12121212482452393}
{'fold': 5, 'epoch': 100, 'train_loss': 1.9098042249679565, 'val_loss': 1.9142460823059082, 'test_acc': 0.27272728085517883}
{'fold': 5, 'epoch': 150, 'train_loss': 1.9072123765945435, 'val_loss': 1.9045484066009521, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 50, 'train_loss': 1.903795838356018, 'val_loss': 1.9103671312332153, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 100, 'train_loss': 1.8964104652404785, 'val_loss': 1.9040477275848389, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 150, 'train_loss': 1.890685796737671, 'val_loss': 1.898238182067871, 'test_acc': 0.27272728085517883}
{'fold': 7, 'epoch': 50, 'train_loss': 1.924889326095581, 'val_loss': 1.930760145187378, 'test_acc': 0.1515151560306549}
{'fold': 7, 'epoch': 100, 'train_loss': 1.9119426012039185, 'val_loss': 1.9232674837112427, 'test_acc': 0.1515151560306549}
{'fold': 7, 'epoch': 150, 'train_loss': 1.907897710800171, 'val_loss': 1.9162541627883911, 'test_acc': 0.27272728085517883}
{'fold': 8, 'epoch': 50, 'train_loss': 1.935120940208435, 'val_loss': 1.929595947265625, 'test_acc': 0.1515151560306549}
{'fold': 8, 'epoch': 100, 'train_loss': 1.9254424571990967, 'val_loss': 1.9219591617584229, 'test_acc': 0.1515151560306549}
{'fold': 8, 'epoch': 150, 'train_loss': 1.9172964096069336, 'val_loss': 1.9143143892288208, 'test_acc': 0.3030303120613098}
{'fold': 9, 'epoch': 50, 'train_loss': 1.9324935674667358, 'val_loss': 1.9311829805374146, 'test_acc': 0.1515151560306549}
{'fold': 9, 'epoch': 100, 'train_loss': 1.9225093126296997, 'val_loss': 1.9247976541519165, 'test_acc': 0.27272728085517883}
{'fold': 9, 'epoch': 150, 'train_loss': 1.9148575067520142, 'val_loss': 1.918392539024353, 'test_acc': 0.27272728085517883}
{'fold': 10, 'epoch': 50, 'train_loss': 1.9627330303192139, 'val_loss': 1.9606173038482666, 'test_acc': 0.1515151560306549}
{'fold': 10, 'epoch': 100, 'train_loss': 1.9559082984924316, 'val_loss': 1.9551900625228882, 'test_acc': 0.1515151560306549}
{'fold': 10, 'epoch': 150, 'train_loss': 1.9496554136276245, 'val_loss': 1.9500048160552979, 'test_acc': 0.1515151560306549}
{'fold': 11, 'epoch': 50, 'train_loss': 1.9363237619400024, 'val_loss': 1.938819169998169, 'test_acc': 0.09090909361839294}
{'fold': 11, 'epoch': 100, 'train_loss': 1.9348845481872559, 'val_loss': 1.9356502294540405, 'test_acc': 0.3030303120613098}
{'fold': 11, 'epoch': 150, 'train_loss': 1.9337881803512573, 'val_loss': 1.9328551292419434, 'test_acc': 0.3030303120613098}
{'fold': 12, 'epoch': 50, 'train_loss': 1.93639075756073, 'val_loss': 1.9323457479476929, 'test_acc': 0.1515151560306549}
{'fold': 12, 'epoch': 100, 'train_loss': 1.9257926940917969, 'val_loss': 1.9246416091918945, 'test_acc': 0.1515151560306549}
{'fold': 12, 'epoch': 150, 'train_loss': 1.9247528314590454, 'val_loss': 1.9176294803619385, 'test_acc': 0.3030303120613098}
{'fold': 13, 'epoch': 50, 'train_loss': 1.9654520750045776, 'val_loss': 1.9746403694152832, 'test_acc': 0.12121212482452393}
{'fold': 13, 'epoch': 100, 'train_loss': 1.956329107284546, 'val_loss': 1.9634380340576172, 'test_acc': 0.12121212482452393}
{'fold': 13, 'epoch': 150, 'train_loss': 1.9458423852920532, 'val_loss': 1.9531594514846802, 'test_acc': 0.12121212482452393}
{'fold': 14, 'epoch': 50, 'train_loss': 1.9413179159164429, 'val_loss': 1.9323711395263672, 'test_acc': 0.1515151560306549}
{'fold': 14, 'epoch': 100, 'train_loss': 1.9336252212524414, 'val_loss': 1.9248768091201782, 'test_acc': 0.1515151560306549}
{'fold': 14, 'epoch': 150, 'train_loss': 1.9244952201843262, 'val_loss': 1.917163372039795, 'test_acc': 0.1515151560306549}
Val Loss: 1.9237, Test Accuracy: 0.234 +/- 0.085, Duration: 12.553
Model(1) results: loss=1.924, accuracy=0.234, std=0.085, cv_params={'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GraphSAGE'>}
Best Model(1) results: loss=1.924, accuracy=0.234, std=0.085, cv_params={'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GraphSAGE'>}

# Evaluating model(2): {'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.0001, 'net': <class 'models.GIN'>}
{'fold': 0, 'epoch': 50, 'train_loss': 1.7282499074935913, 'val_loss': 2.0200231075286865, 'test_acc': 0.11764705926179886}
{'fold': 0, 'epoch': 100, 'train_loss': 1.565672516822815, 'val_loss': 1.8171679973602295, 'test_acc': 0.3529411852359772}
{'fold': 0, 'epoch': 150, 'train_loss': 1.414946436882019, 'val_loss': 1.7313077449798584, 'test_acc': 0.4117647111415863}
{'fold': 1, 'epoch': 50, 'train_loss': 1.7284389734268188, 'val_loss': 2.0053505897521973, 'test_acc': 0.09090909361839294}
