Compose([
  RemoveFreeColumns([30, 108, 444, 943, 1264]),
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  NormalizeFeatures()
])
(2480, 1385)
# Run(63):
	cv_params={'layer': [2], 'hidden': [32, 64, 128], 'net': [<class 'models.GCNConv'>, <class 'models.GraphSAGE'>, <class 'models.GIN'>], 'lr': [0.001, 0.0031622776601683794, 0.01], 'epoch': [150, 250, 500]},
	lr_decay=0.9,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=15,

# Evaluating model(0): {'epoch': 150, 'hidden': 32, 'layer': 2, 'lr': 0.001, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 50, 'train_loss': 1.9214060306549072, 'val_loss': 1.917612910270691, 'test_acc': 0.29411765933036804}
{'fold': 0, 'epoch': 100, 'train_loss': 1.7976876497268677, 'val_loss': 1.781360387802124, 'test_acc': 0.29411765933036804}
{'fold': 0, 'epoch': 150, 'train_loss': 1.5479862689971924, 'val_loss': 1.5652165412902832, 'test_acc': 0.29411765933036804}
{'fold': 1, 'epoch': 50, 'train_loss': 1.854371428489685, 'val_loss': 1.843578577041626, 'test_acc': 0.3030303120613098}
{'fold': 1, 'epoch': 100, 'train_loss': 1.6417570114135742, 'val_loss': 1.6937000751495361, 'test_acc': 0.42424243688583374}
{'fold': 1, 'epoch': 150, 'train_loss': 1.3561058044433594, 'val_loss': 1.4704729318618774, 'test_acc': 0.42424243688583374}
{'fold': 2, 'epoch': 50, 'train_loss': 1.8931304216384888, 'val_loss': 1.8963984251022339, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 100, 'train_loss': 1.805661916732788, 'val_loss': 1.80088472366333, 'test_acc': 0.3030303120613098}
{'fold': 2, 'epoch': 150, 'train_loss': 1.56132972240448, 'val_loss': 1.6025726795196533, 'test_acc': 0.4848484992980957}
{'fold': 3, 'epoch': 50, 'train_loss': 1.846921682357788, 'val_loss': 1.8225951194763184, 'test_acc': 0.3030303120613098}
{'fold': 3, 'epoch': 100, 'train_loss': 1.703566312789917, 'val_loss': 1.6823116540908813, 'test_acc': 0.3030303120613098}
{'fold': 3, 'epoch': 150, 'train_loss': 1.442433476448059, 'val_loss': 1.4542583227157593, 'test_acc': 0.3030303120613098}
{'fold': 4, 'epoch': 50, 'train_loss': 1.9000906944274902, 'val_loss': 1.8825477361679077, 'test_acc': 0.3030303120613098}
{'fold': 4, 'epoch': 100, 'train_loss': 1.7764872312545776, 'val_loss': 1.7595860958099365, 'test_acc': 0.3030303120613098}
{'fold': 4, 'epoch': 150, 'train_loss': 1.4947137832641602, 'val_loss': 1.5387519598007202, 'test_acc': 0.3636363744735718}
{'fold': 5, 'epoch': 50, 'train_loss': 1.8909680843353271, 'val_loss': 1.8793965578079224, 'test_acc': 0.27272728085517883}
{'fold': 5, 'epoch': 100, 'train_loss': 1.7857049703598022, 'val_loss': 1.7738004922866821, 'test_acc': 0.27272728085517883}
{'fold': 5, 'epoch': 150, 'train_loss': 1.5009875297546387, 'val_loss': 1.5180385112762451, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 50, 'train_loss': 1.8776761293411255, 'val_loss': 1.8903050422668457, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 100, 'train_loss': 1.7885315418243408, 'val_loss': 1.7868021726608276, 'test_acc': 0.27272728085517883}
{'fold': 6, 'epoch': 150, 'train_loss': 1.5112075805664062, 'val_loss': 1.5677757263183594, 'test_acc': 0.42424243688583374}
{'fold': 7, 'epoch': 50, 'train_loss': 1.869071125984192, 'val_loss': 1.870389699935913, 'test_acc': 0.27272728085517883}
{'fold': 7, 'epoch': 100, 'train_loss': 1.7336395978927612, 'val_loss': 1.734495997428894, 'test_acc': 0.27272728085517883}
{'fold': 7, 'epoch': 150, 'train_loss': 1.4886356592178345, 'val_loss': 1.455751895904541, 'test_acc': 0.3333333432674408}
{'fold': 8, 'epoch': 50, 'train_loss': 1.8797013759613037, 'val_loss': 1.8864766359329224, 'test_acc': 0.27272728085517883}
{'fold': 8, 'epoch': 100, 'train_loss': 1.7713079452514648, 'val_loss': 1.784833312034607, 'test_acc': 0.27272728085517883}
{'fold': 8, 'epoch': 150, 'train_loss': 1.5118663311004639, 'val_loss': 1.561766266822815, 'test_acc': 0.39393940567970276}
{'fold': 9, 'epoch': 50, 'train_loss': 1.8480732440948486, 'val_loss': 1.8512822389602661, 'test_acc': 0.27272728085517883}
{'fold': 9, 'epoch': 100, 'train_loss': 1.6990019083023071, 'val_loss': 1.6850452423095703, 'test_acc': 0.27272728085517883}
{'fold': 9, 'epoch': 150, 'train_loss': 1.4213504791259766, 'val_loss': 1.4138095378875732, 'test_acc': 0.39393940567970276}
{'fold': 10, 'epoch': 50, 'train_loss': 1.8658690452575684, 'val_loss': 1.8667185306549072, 'test_acc': 0.27272728085517883}
{'fold': 10, 'epoch': 100, 'train_loss': 1.7027065753936768, 'val_loss': 1.7132298946380615, 'test_acc': 0.27272728085517883}
{'fold': 10, 'epoch': 150, 'train_loss': 1.373246431350708, 'val_loss': 1.4457744359970093, 'test_acc': 0.42424243688583374}
{'fold': 11, 'epoch': 50, 'train_loss': 1.833840012550354, 'val_loss': 1.8424131870269775, 'test_acc': 0.3030303120613098}
{'fold': 11, 'epoch': 100, 'train_loss': 1.652142882347107, 'val_loss': 1.688763976097107, 'test_acc': 0.3030303120613098}
{'fold': 11, 'epoch': 150, 'train_loss': 1.3853224515914917, 'val_loss': 1.4612102508544922, 'test_acc': 0.39393940567970276}
{'fold': 12, 'epoch': 50, 'train_loss': 1.8696938753128052, 'val_loss': 1.8557493686676025, 'test_acc': 0.3030303120613098}
{'fold': 12, 'epoch': 100, 'train_loss': 1.7778031826019287, 'val_loss': 1.7455432415008545, 'test_acc': 0.3030303120613098}
